"Project","ProjectName","Category","RecentIssueCount","SampleIssues"
"NT72690AMU9","NT72690_AM_U9","其他","2","NT72690AMU9-9067:【QDLIT-AirPlay】AirPlay投屏播放Greyhound，快退或者点击从头开始播放，视频播到apple logo时花屏 | NT72690AMU9-9043:【QDLIT-AirPlay】AirPlay投屏播放Greyhound，快退或者点击从头开始播放，视频播到apple logo时花屏"
"XRVS3Q01","XR-VS3Q(01)","其他","2","XRVS3Q01-4270:售后--AI翻译的时候会把周围人声采集到，优化一下AI翻译时的算法 | XRVS3Q01-4201:打电话听不清楚，排查是右腿mic 异常"
"MT9618LOEWE","MT9618_Loewe","MT9618平台","2","MT9618LOEWE-15481:[U9.6][EPG] Only for the first and last three channels 6 lines are fully visible | MT9618LOEWE-15503:【EPG】列表UX/UE调整"
"K1","K1","其他","2","K1-1350:地侧中间约400mm范围内前壳上无支撑到背板正面上的筋。 | K1-1349:地侧局部屏壳闪缝仅0.2mm，跟踪面板压迫性漏光问题。"
"WYXMGL","武研项目管理","其他","2","WYXMGL-26463:更新Personalized ads对应的翻译词条 | WYXMGL-26431:AIButton存量eventcode事件统计上报"
"NXAPPUP","内销应用自升级","应用和多媒体","2","NXAPPUP-18283:【0430版本未修复】【媒体中心3.3】添加SMB设备，首次点击闪退回首页，再次点击闪退出应用 | NXAPPUP-18431:【0430未修复】【媒体中心3.3】播放音乐时，右上角不应显示背景音乐button"
"MT9603GLOBU9P","MT9603_Global_U9Projector","MT9603平台","2","MT9603GLOBU9P-7270:【9603微投4K】【U盘】不识别NTFS格式U盘 | MT9603GLOBU9P-7130:【PP-5076】【MT9603 EU 4K Amazon Prime Video认证管理-V6.2.1】Dev"
"WSPECTEST","外销规格点检","测试质量和自动化","2","WSPECTEST-16357:100U77SEVS(01)-2026-04-24_19-25-56-规格点检已申请 | WSPECTEST-16352:65Q72SIVS(01)_2026-04-30_09-18-29-规格点检已申请"
"XYFENDA","信扬奋达音响项目群","其他","2","XYFENDA-402:【BASS12S】【eARC】拔插HDMI线正常播放后，有概率通道自动跳转到TV Speaker，有概率自动跳转回eARC，也有概率跳转不回来 | XYFENDA-405:【BASS12S】【BT】soundbar回连未保存的设备时，在设备上点击配对，有概率没有链接"
"MT9603FTV","MT9603FTV","MT9603平台","2","MT9603FTV-711:请提供画质相关认证证明 | MT9603FTV-700:[43-50-55M450SU] HDR10+ /Dolby Vision/Filmmaker Mode认证"
"MT9679","MT9679-商显","MTK平台其他","2","MT9679-9162:【13代教育母盘S02AMS7D821】【65WR3E-PRO】视频展台和黑板画笔断触，其他应用画笔正常 | MT9679-9130:2026-4-28  86WR33F（01）机械试验，3#机 背板严重变形"
"MT9216GTVR50","MT9216GTV_R50","MTK平台其他","1","MT9216GTVR50-346:【老化前】老化前出现一台电视开机画面画异"
"TVSPRE27","TVS_PreStudy2027_JP","产品项目","1","TVSPRE27-55:SRS - HotelMode_Impl 设计文档Review和补充"
"USNPS","美国NPS问题管理项目","其他","1","USNPS-2950:NPS:202604月份日志，平台his9655 Tombstones 模块com.google.android.apps.mediashell 在本次日志收集期间产生了2165次,占比10.16050%"
"TVSKS","日本市场软件客诉问题","产品项目","1","TVSKS-393:確認依頼】＜50M550M＞dアニメストアが最後まで再生されない"
"VIDAATEST","VIDAATEST","系统和OS平台","1","VIDAATEST-2285:执行用例后，查看摄像头，刷新摄像头的页面会报错"
"VIDAACHAPP","VIDAACHAPP","系统和OS平台","1","VIDAACHAPP-1817:优化详情页"
"MT9603","MT9603","MT9603平台","1","MT9603-27697: MT9603语音助手更新-260507"
"VIDAAIPKUPDATE","VIDAA IPK升级项目","系统和OS平台","1","VIDAAIPKUPDATE-318:5月IPK-开发"
"SXYFW","商显云服务应用项目","其他","1","SXYFW-382:XP3E会议纪要软件集成"
"YYGS","基于大数据分析应用稳定性改善项目","其他","1","YYGS-1595:ActivityThread.java - RuntimeException"
"VIDAAWEBAPP","VIDAA WEBAPP","系统和OS平台","1","VIDAAWEBAPP-1953:app-common在请求api前添加判断：api是否支持"
